collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
63918,col,Oolithe corallienne de Pagnoz,6.15,47.133331,"Bonnevaux-le-Prieuré, Bed 16, Oolithe corallienne de Pagnoz",,Reef 3373,13,Middle Oxfordian,,161.2,155.7,Lathuiliere et al.,2005,18253,FR,,,based on nearby landmark,minutes,small collection,"along the road connecting Bonnevaux-dessous to Bonnevaux-le-Prieuré, 16 km SE of Besancon, Franche-Compté",gp_mid,22.13,30.32,305,FR,,Oolithe corallienne de Pagnoz,,,bed,,Bonnevaux-le-Prieuré,16,bottom to top,,,,,oolithic grainstone,grainstone,,lithified,,,,,,,,"reef, buildup or bioherm",,sedimentary structures indicate tidal influence,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,some macrofossils,,,,,"echinoderms, brachiopods, bivalves, gastropods and bryozoans reported to be present, but not listed",
63919,col,Oolithe corallienne de Pagnoz,6.15,47.133331,"Bonnevaux-le-Prieuré, Bed 17, Oolithe corallienne de Pagnoz",,Reef 3373,9,Middle Oxfordian,,161.2,155.7,Lathuiliere et al.,2005,18253,FR,,,based on nearby landmark,minutes,small collection,"along the road connecting Bonnevaux-dessous to Bonnevaux-le-Prieuré, 16 km SE of Besancon, Franche-Compté",gp_mid,22.13,30.32,305,FR,,Oolithe corallienne de Pagnoz,,,bed,,Bonnevaux-le-Prieuré,17,bottom to top,,,,,oolithic grainstone,grainstone,,lithified,,,,,,,,"reef, buildup or bioherm",,sedimentary structures indicate tidal influence,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,some macrofossils,,,,,"echinoderms, brachiopods, bivalves, gastropods and bryozoans reported to be present, but not listed",
63920,col,Oolithe corallienne de Pagnoz,6.15,47.133331,"Bonnevaux-le-Prieuré, Bed 19, Oolithe corallienne de Pagnoz",,Reef 3373,1,Middle Oxfordian,,161.2,155.7,Lathuiliere et al.,2005,18253,FR,,,based on nearby landmark,minutes,small collection,"along the road connecting Bonnevaux-dessous to Bonnevaux-le-Prieuré, 16 km SE of Besancon, Franche-Compté",gp_mid,22.13,30.32,305,FR,,Oolithe corallienne de Pagnoz,,,bed,,Bonnevaux-le-Prieuré,19,bottom to top,,,,,oolithic grainstone,grainstone,,lithified,,,,,,,,"reef, buildup or bioherm",,lagoonal,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,some macrofossils,,,,,"echinoderms, brachiopods, bivalves, gastropods and bryozoans reported to be present, but not listed",
63921,col,Oolithe corallienne de Pagnoz,6.15,47.133331,"Bonnevaux-le-Prieuré, Bed 20, Oolithe corallienne de Pagnoz",,Reef 3373,15,Middle Oxfordian,,161.2,155.7,Lathuiliere et al.,2005,18253,FR,,,based on nearby landmark,minutes,small collection,"along the road connecting Bonnevaux-dessous to Bonnevaux-le-Prieuré, 16 km SE of Besancon, Franche-Compté",gp_mid,22.13,30.32,305,FR,,Oolithe corallienne de Pagnoz,,,bed,,Bonnevaux-le-Prieuré,20,bottom to top,,,,,oolithic grainstone,grainstone,,lithified,,,,,,,,"reef, buildup or bioherm",,a true build-up,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,some macrofossils,,,,,"echinoderms, brachiopods, bivalves, gastropods and bryozoans reported to be present, but not listed",
63922,col,Oolithe corallienne de Pagnoz,6.15,47.133331,"Bonnevaux-le-Prieuré, Bed 21, Oolithe corallienne de Pagnoz",,Reef 3373,4,Middle Oxfordian,,161.2,155.7,Lathuiliere et al.,2005,18253,FR,,,based on nearby landmark,minutes,small collection,"along the road connecting Bonnevaux-dessous to Bonnevaux-le-Prieuré, 16 km SE of Besancon, Franche-Compté",gp_mid,22.13,30.32,305,FR,,Oolithe corallienne de Pagnoz,,,bed,,Bonnevaux-le-Prieuré,21,bottom to top,,,,,oolithic grainstone,grainstone,,lithified,,,,,,,,"reef, buildup or bioherm",,lagoonal,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,some macrofossils,,,,,"echinoderms, brachiopods, bivalves, gastropods and bryozoans reported to be present, but not listed",
63923,col,Oolithe corallienne de Pagnoz,6.15,47.133331,"Bonnevaux-le-Prieuré, Bed 22, Oolithe corallienne de Pagnoz",,Reef 3373,11,Middle Oxfordian,,161.2,155.7,Lathuiliere et al.,2005,18253,FR,,,based on nearby landmark,minutes,small collection,"along the road connecting Bonnevaux-dessous to Bonnevaux-le-Prieuré, 16 km SE of Besancon, Franche-Compté",gp_mid,22.13,30.32,305,FR,,Oolithe corallienne de Pagnoz,,,bed,,Bonnevaux-le-Prieuré,22,bottom to top,,,,,oolithic grainstone,grainstone,,lithified,,,,,,,,"reef, buildup or bioherm",,with an emersive microatoll-like colony,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,some macrofossils,,,,,"echinoderms, brachiopods, bivalves, gastropods and bryozoans reported to be present, but not listed",
64067,col,,5.05,43.400002,"Martigues, Chainon de la Nerthe, Provence",,Reef 1328,3,Early Barremian,,130,125.45,Morycowa and Masse,1998,18494,FR,,,based on nearby landmark,minutes,outcrop,"S of Martigues, 25 km NW of Marseille, Bouches-du-Rhone",gp_mid,28.3,29.45,305,FR,,,,,group of beds,,,,,,,,,coral biostromes with stromatoporoids at the top or margin,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
64068,col,,5.033333,43.549999,"Canal EDF, Saint Chamas, Chainon de la Fare-Lancon, Provence",,Reef 1328,11,Late Barremian,,130,125.45,Masse,1980,23401,FR,,,based on nearby landmark,minutes,outcrop,"E of Saint Chamas, 10 km S of Salon-de-Provence, Bouches-du-Rhone",gp_mid,28.3,29.6,305,FR,,,,,group of beds,,,,,,,,,biostrome,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
64072,col,,5.033333,43.783333,"Notre Dame de Beauregard, Orgon, coral biostrome",,Reef 1965,18,Late Barremian,,130,125.45,Masse,1980,23401,FR,Provence-Alpes-Cote d'Azur,,based on nearby landmark,minutes,outcrop,"25 km SE of Avignon, Bouches-du-Rhone",gp_mid,28.32,29.84,305,FR,,,,,group of beds,,,,,,,,,"coral bafflestone-bindstone, biostrome is located at the transition between bioclastics and rudist beds",limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
64075,col,,5.416667,44.083332,"Sault biostrome, Massif de Vaucluse",,,12,Early Aptian,,125.45,122.46,Morycowa and Masse,1998,18494,FR,Provence-Alpes-Cote d'Azur,,based on nearby landmark,minutes,outcrop,"30 km E of Carpentras, Vaucluse",gp_mid,29.27,31.69,305,FR,,,,,group of beds,,,,,,,,,lense-like biostrome,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
64076,col,,5.483333,43.916668,"Rustrel, Massif de Vaucluse, Provence",,Reef 3620,20,Early Aptian,,125.45,122.46,Morycowa and Masse,1998,18494,FR,,,based on nearby landmark,minutes,outcrop,"NE of Rustrel, 39 km SE of Carpentras, Vaucluse",gp_mid,29.31,31.52,305,FR,,,,,group of beds,,,,,,,,,coral biostromes with stromatoporoids,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
64081,col,,5.2,44.216667,"Fessonieres-Pied Gros, Veaux, Massif du Ventoux, Provence",,,14,Early Aptian,,125.45,122.46,Morycowa and Masse,1998,18494,FR,,,based on nearby landmark,minutes,small collection,"SW of Veaux, 21 km NE of Carpentras, Vaucluse",gp_mid,29.1,31.83,305,FR,,,,,group of beds,,,,,,,,,coral unit interbedded between biocalcarenites and a rudist-rich unit,limestone,,lithified,,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
64089,col,,19.933332,49.25,"Sub-Tatra, Sarnia Skala, Maly Kopieniec, Carpathians",,Reef 3528,2,Rhaetian,,208.5,201.3,Morycowa,1975,18506,PL,,,based on nearby landmark,minutes,local area,"Sarnia Skala, Maly Kopieniec and Mala Swinica, E of Mount Giewont, S of Zakopane, near the border to Slovakia",gp_mid,34.97,24.78,308,PL,,,,,group of beds,,,,,,,,,"medium and thick-bedded limestones of grey or dark-bluish colour, intercalated with dark shales",limestone,,lithified,,Y,"""shale""",,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,"The associated fauna includes brachiopods, molluscs and crinoids."
64107,col,,19.933332,49.25,"High-Tatra, Giewont, Kobylarz, Wysoka Turnia, Carpathians",,Reef 3529,10,Barremian,Late Aptian,129.4,112.03,Morycowa,1975,18506,PL,,,based on nearby landmark,minutes,local area,"N slope of Mount Giewont; Kobylarz and Wysoka Turnia W of Giewont, S of Zakopane",gp_mid,43.88,20.48,308,PL,,,,,group of beds,,,,,,,,,"light or grey colour, reef breccias, product of destruction of reef or reef-like structures",limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,some macrofossils,,,,,,"Hydrozoans, lamellibranchs, sponges, bryozoans, brachiopods, crinoids, algae, echinoids and serpulids reported to be present, but not listed."
64116,col,,19.483334,49.933334,"Wozniki, exotic limestone block",,,17,Late Tithonian,,150.8,145,Morycowa,1974,30921,PL,,,based on nearby landmark,minutes,small collection,Wozniki 5 km N of Wadowice,gp_mid,29.93,34.26,305,PL,,,,,bed,,,,,,,,"3 x 4 m exotic block in the Hauterivian Grodziszcze Formation of the Sub-Silesian nappe, fossils occur in the central part of the block","Stramberg-type limestone with corals, sponges, bryozoans, bivalves, brachiopods, crinoids, echinids, rare ammonoids and gastropods",limestone,,lithified,,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,"all microfossils,some macrofossils",,,,,,
64117,col,,22.733334,49.766666,"Kruhel Wielki, Przemysl, Skole nappe",,Reef 3527,8,Late Tithonian,Early Berriasian,150.8,140.2,Morycowa,1975,18506,PL,,,based on nearby landmark,minutes,small collection,"Kruhel Wielki 4 km SW of Przemysl, near the border to Ukraine",gp_mid,33.48,34.42,305,PL,,,,,group of beds,,,,,,,,exotic block within the Maastrichtian flysch sediments of the Skole nappe,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,The limestones are the remnants of a reef or reef-like structure formed in a high-energy environment.,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,"all microfossils,some macrofossils",,,,,,"The corals are associated with lamellibranchs, gastropods, brachiopods and ammonites."
64243,col,,22.833332,38.416668,"Analipsis (Sourpi), Boeotia",,Reef 3531,1,Early Albian,Middle Albian,112.03,105.3,Steuber,1999,18332,GR,,,based on nearby landmark,minutes,outcrop,"4 km E of Analipsis (Sourpi), S of Livadia, Boeotia",gp_mid,32.86,22.57,307,GR,,,,,group of beds,,,,,,,,,marls with numerous rudist bouquets overlie ophiolitic conglomerates and sandstones; massive limestones in the upper part,marl,,lithified,,,"""limestone""",,lithified,,,"reef, buildup or bioherm",,"biostromes up to 2 m thick, exposed 10 m above the base of the section, and pseudocolonies (bouquets) ","macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
64246,col,,22.866667,38.433334,"Agia Barbara, Livadia, Boeotia",,Reef 3531,1,Early Albian,Middle Albian,112.03,105.3,Steuber,1999,18332,GR,,,based on nearby landmark,minutes,outcrop,"200 m E of the chapel of Agia Barbara near Livadia, Boeotia",gp_mid,32.89,22.55,307,GR,,,,,group of beds,,,,,,,,,ophiolitic conglomerates and marls; argillaceous deposits with gastropods in the middle part,limestone,,lithified,,,marl,,lithified,,,"reef, buildup or bioherm",,up to 0.5 m thick biostrome in the upper part and small bouquets at the basal level,"macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
64253,col,,23.283333,38.466667,"Marmeiko, Mt. Ptoon, Boeotia",,Reef 2643,5,Middle Turonian,Coniacian,93.5,86.3,Steuber,1999,18332,GR,,,based on nearby landmark,minutes,outcrop,"Marmeiko quarry on the slope of Tsekoureli Mountain, Ptoon Mountains, Boeotia",gp_mid,27.7,22.97,307,GR,,,,,group of beds,,,,,,,,Middle Turonian-?Coniacian,"clusters and biostromes of Radiolites and Vaccinites above coquina horizon, two levels with corals",limestone,,lithified,,,marl,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
64308,col,,21.866667,40.75,"Moukharemi Hill, Vermion Mountains, central Greek Macedonia",,Reef 2646,9,Campanian,,83.6,72.1,Steuber,1999,18332,GR,,,estimated from map,minutes,outcrop,"N slope of Moukharemi Hill, SW of Edessa, Pella prefecture",gp_mid,26.02,22.31,307,GR,,,,,group of beds,,,,,,,,,"coral-rudist float- to rudstones, and sandstones and argillaceous marls in the lower part",floatstone,,lithified,,,rudstone,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
66387,col,Calcari Oolitici di S. Vigilio,11.133333,45.75,"Chiusa di Camposilvano, Calcari Oolitici di S. Vigilio, Reef facies",,Reef 3556,2,Aalenian,,174.1,170.3,Benetti and Pezzoni,1993,18980,IT,,,based on nearby landmark,minutes,outcrop,"W of the village Chiusa di Camposilvano, Lessinian Alps",gp_mid,36.12,25.45,307,IT,,Calcari Oolitici di S. Vigilio,,,group of beds,,,,,,,,Reef lithofacies,,reef rocks,,lithified,,,wackestone,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
66390,col,Calcari Oolitici di S. Vigilio,11.133333,45.75,"Covolo di Camposilvano, Calcari Oolitici di S. Vigilio, Reef facies",,Reef 3556,2,Aalenian,,174.1,170.3,Benetti and Pezzoni,1993,18980,IT,,,based on nearby landmark,minutes,outcrop,"100 m NNE of the village of Covolo (district of Velo Veronese), Lessinian Alps",gp_mid,36.12,25.45,307,IT,,Calcari Oolitici di S. Vigilio,,,group of beds,,,,,,,,Reef lithofacies,,reef rocks,,lithified,,,wackestone,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
66930,col,,13.766667,46.200001,"Perbla, Zadlascica Valley, Reef Limestone",,Reef 3511,8,Carnian,,237,228,Turnsek et al.,1987,19057,SI,,,estimated from map,minutes,outcrop,"Perbla in the Zadlascica Valley, about 4 km NE of Tolmin, NW Slovenia",gp_mid,34.06,15.86,307,SI,,,,,group of beds,,,,,,,,Upper Carnian (Upper Julian-Tuvalian),a 10 m thick intercalation of well cemented dark grey reef limestone blocks and fragments which passes into reef breccia in the upper part,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,microfossils",,,,,,,,,good,,,,,,,,,,,,taxonomic,"selective quarrying,peel or thin section,field collection",,,,,,,,
66947,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, Bioherm R1, Franche-Compté",,Reef 3449,3,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,"lamellar corals: 61% of rock volume, sediments: 37.5%, no microbialites",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,bioherm with a lateral extent of about 15 m,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,some macrofossils,,,,,,"Bivalves, brachiopods and echinids reported to be present, but not listed."
66948,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, Biostrome R2, Franche-Compté",,Reef 3449,4,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"coral biostrome with locally abundant microbialites, 50-70 cm thick, unknown lateral extent (>50 m)",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66949,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, Bioherm R3, Franche-Compté",,Reef 3449,8,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,"corals: 60% of the reef volume, sediments: 25%, microbialites: 13%",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"meter-scale patch-reefs, up to 15 m large and 3 m thick",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66950,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, Bioherm R4, Franche-Compté",,Reef 3449,5,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,"corals: 61% of the reef volume, sediments: 20%, microbialites: 14%",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"small bioherms, 2-3 m large and 1.5 m thick",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66951,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, Biostrome R5, Franche-Compté",,Reef 3449,3,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"unbedded biostrome unit, 15-25 cm thick",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66952,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, lower Biostrome R6, Franche-Compté",,Reef 3449,5,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,2 subunits of coral-microbialite biostromes: 20-25 cm and 10-15 cm thick,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66953,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, upper Biostrome R6, Franche-Compté",,Reef 3449,2,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,microbialites: up to 70% of the reef volume,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,2 subunits of coral-microbialite biostromes: from 5 to 30 cm thick,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66954,col,Calcaire à polypier de Frotey,6,47.733334,"Chargey-les-Port, Biostrome R7, Franche-Compté",,Reef 3449,4,Early Bajocian,,171.6,168.4,Olivier et al.,2006,19071,FR,,,based on nearby landmark,minutes,small collection,"Quarry SW of Chargey-les-Port, NW of Vesoul, Haute-Saone, Franche-Compté",gp_mid,28.09,33.15,305,FR,,Calcaire à polypier de Frotey,,,bed,,,,,,,,Humphriesianum subzone,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,"well-bedded biostrome, 80-120 cm thick",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
66971,col,,25.9,49.599998,"Maksymivka reef near Ternopil, Medobory",,Reef 1127,3,Middle Miocene,,15.97,11.608,Radwanski et al.,2006,19091,UA,,,based on nearby landmark,minutes,outcrop,,gp_mid,26.98,46.72,302,UA,,,,,group of beds,,,,,,,,Badenian age indicated,"Coralgal reefs dominated by red-algal (lithothamnian) colonies interfingering with , and/or encrusted by biolithic mats/crusts of supposedly blue-green algal origin, all of which are associated locally with sparse hematypic corals. ",framestone,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,medium,,,,,,abundant,,,frequent,extreme,,taphonomic,"peel or thin section,field collection",,,,,,,,
67003,col,Baldonnel,-123.008331,56.049999,Pardonet Hill Patch Reef in Baldonnel Fm.,,Reef 3887,4,Tuvalian,,232,221.5,Zonneveld et al.,2007,19096,CA,British Columbia,,based on nearby landmark,minutes,outcrop,,gp_mid,-38.5,35.64,101,CA,,Baldonnel,,,group of beds,,,,,,,,"M. lindae subzone of M. nodosus conodont zone, indicated as lower upper Carnian. Upper Triassic Baldonnel Formation.","Bioclastic accumulations composed of crinoids, brachiopods, molluscs, spongiomorphs and scleractinian corals occur within Upper Triassic strata of the lower Baldonnel Formation at Pardonet Hill in northeastern British Columbia Canada. These small buildups (100 to 500 m3) have planar bases and broadly convex tops. These mounds are interpreted as small patch reefs composed of packstone, bioclastic floatstone/rudstone and carbonate breccia intercalated with mixed siliciclastic carbonate sediments deposited in a shallow subtidal setting (i.e. above fairweather wave base).",reef rocks,,lithified,,Y,"""mixed carbonate-siliciclastic""",,,,,intrashelf/intraplatform reef,,Patch reefs on a low gradient carbonate ramp,macrofossils,,,,,,,,,medium,,,,,,abundant,,,,,,general faunal/floral,"selective quarrying,peel or thin section,field collection",,,,,,,,List lumps data from three separate patch reefs (20 m thick interval). Rhynchenollid brachiopods explicitely noted to be absent.
67009,col,Simsima,55.950001,24.866667,"Jebel Rawdah, W Oman Mountains, Simsima Formation",,Reef 2931,7,Late Campanian,Early Maastrichtian,83.5,66,Metwally,1996,19102,OM,,,based on nearby landmark,minutes,outcrop,"N of the Dubai-Hatta road, U.A.E.-Oman border",gp_mid,53.64,-0.06,503,OM,,Simsima,,,group of beds,,,,,,,,basal and middle part of the formation,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"small coral patch reefs (narrow extension, 1-2 m thick), associated with some restricted mollusc banks",macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67010,col,Simsima,55.833332,24.283333,"Jebel Huwayyah, W Oman Mountains, Simsima Formation",,Reef 2930,4,Campanian,Maastrichtian,83.6,66,Metwally,1996,19102,OM,,,based on nearby landmark,minutes,outcrop,"NE of Al Ayn, U.A.E.-Oman border",gp_mid,53.46,-0.62,503,OM,,Simsima,,,group of beds,,,,,,,,basal and middle part of the formation,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"small coral patch reefs (narrow extension, 1-2 m thick), associated with some restricted mollusc banks",macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67011,col,La Cadiere d'Azur,5.766667,43.200001,"La Cadiere d'Azur, rudist buildups, Provence",,Reef 1955,3,Santonian,,86.3,83.6,Grosheny and Philip,1989,19103,FR,,,based on nearby landmark,minutes,small collection,"between Marseille and Toulon, Provence",gp_mid,,,coordinates not computable using this model,FR,,La Cadiere d'Azur,,,group of beds,,,,,,,,units B2 and B3 of the formation,,bafflestone,,lithified,,,,,,,,"reef, buildup or bioherm",,peri-deltaic environment,"macrofossils,mesofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67012,col,Gurumdy,73.550003,37.783333,"Djarty-Rabat, SE-Pamir",,Reef 2790,5,Sinemurian,,199.3,190.8,Melnikova,2006,19104,TJ,,,estimated from map,minutes,local area,,gp_mid,88.01,53.31,601,TJ,,Gurumdy,,,member,,,,,,,,upper subformation,organogenic-detrital limestones of the reefal affinity that form forbidding cliffs hundreds of meters high.,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,field collection,,,,,,,,
67014,col,Gurumdy,74.01667,38.166668,"Mynhajir Zone, SE-Pamir",,Reef 3465,4,Hettangian,Sinemurian,201.3,190.8,Melnikova,2006,19104,TJ,,,estimated from map,minutes,local area,,gp_mid,87.9,53.84,601,TJ,,Gurumdy,,,member,,,,,,,,,dark gray organogenic-detrital limestones,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,general faunal/floral,field collection,,,,,,,,
67084,col,Vallcarga,0.966667,42.25,"Pobla de Segur, Tremp Area, Corals of Puimanyons Olistostrome, Cataluna",,Reef 2625,45,Campanian,,83.6,72.1,Baron-Szabo,1998,12731,ES,,,based on nearby landmark,minutes,outcrop,"valley system between Torallola, Toralla and Sensui, W of Pobla de Segur, N of Tremp, Lleida",gp_mid,11.49,30.42,304,ES,,Vallcarga,,Puimanyons Olistostrome,member,,,,,,,,,lithoclasts,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,corals thrived on a substratum of a truncated Aptian to Albian succession,macrofossils,,,,,,,,,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,some macrofossils,,,,,,
67085,col,,18.433332,40.033333,"Santa Cesarea, Salentine Peninsula, Apulia",,Reef 3108,1,Late Campanian,Maastrichtian,83.5,66,Cestari and Sirna,1987,19121,IT,,,based on nearby landmark,minutes,outcrop,"along the Santa Cesarea Terme-Otranto road, Lecce, Apulia",gp_mid,23.01,22.95,307,IT,,,,,group of beds,,,,,,,,,microbioclastic mudstone-wackestone to local rudstone,wackestone,,lithified,,,lime mudstone,,lithified,,,"reef, buildup or bioherm",,biostrome near the platform-edge,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
