"r_number","name","country","formation","system","series","intervall","max_ma","min_ma","time_slice_text","reliabilit","subsurface_text","type_text","thickness_text","m_thick","width_text","m_width","extension_text","m_ext","ext_belt","belonging","tropical_text","environment_text","subenvironment_text","bathymetry_text","biota_main_t","biota_sec_text","biota_deta_text","alg_type_text","p_lmc","p_arag","p_hmc","upwell_text","control_text","diversity_text","m_spec","guild_text","macro_bor_text","micro_bor_text","vert_zonat_text","hor_zonat_text","micrite_text","sparite_text","debris_text","dolomite_text","reservoir_text","latit","longit","collection","pal_lat_scotese","pal_long_scotese"
"309","Wellman, Horseshoe Atoll, Texas","United States","","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","3","Seismic data available","Reef mound","More than 500 m thick","","","","More than 1000 m","","200","310","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Algae","Bryozoans","Algae - bryozoans - (crinoids) - (forams) - (sponges) - (vermetids)","Green algae","40","60","0","no","no","Less than 6 reef building species","","Binder guild","","","","","30-60% micrite","","Medium production of reefal debris","","Actual reservoir","33.05","-102.4167","","-3.99325","-35.5448"
"384","Crane, Texas","United States","","Permian","Middle Permian","Wordian","268.80","265.10","Roadian - Changhsingian","3","Seismic data available","True reef","10 to 100 m thick","","","","More than 100 m","","10","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Above fair weather wave base","Calcisponges","Bryozoans","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","","30","50","20","no","no","6 to 24 reef building species","","Baffler guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","Present","Actual reservoir","31.3833","-102.3667","","3.39979","-31.3369"
"383","Sacroc well, Texas","United States","","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","2","Seismic data available","Reef mound","10 to 100 m thick","","","","More than 100 m","","20","310","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Algae","Algae","Phylloid and other platy algae - cements - (microbes)","Green algae","0","100","0","no","no","Less than 6 reef building species","","Baffler guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","Actual reservoir","33.1667","-102.3333","","-3.97666","-35.4457"
"310","Mungerville, Horseshoe Atoll, Texas","United States","","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","2","Seismic data available","Reef mound","10 to 100 m thick","","","","More than 100 m","","200","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Bryozoans","Calcisponges","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","","40","50","10","no","no","6 to 24 reef building species","","Binder guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","Actual reservoir","32.7667","-102.0833","","-4.42194","-35.5215"
"1196","Elk Point Basin, North Dakota","United States","","Devonian","Middle Devonian","Givetian","387.70","382.70","Givetian - early Famennian","2","Seismic data available","True reef","10 to 100 m thick","","","","More than 100 m","","60","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","25 or more reef building species","","Constructor guild","","","Medium zonation","Low zonation","30-60% micrite","10-25% sparite","Medium production of reefal debris","Present","Actual reservoir","48.7333","-101.9167","","-24.0123","-39.7192"
"1198","Elk Point Basin III, North Dakota","United States","","Devonian","Middle Devonian","Givetian","387.70","382.70","Givetian - early Famennian","2","Seismic data available","True reef","101-500 m thick","","","","More than 100 m","","60","1196","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","6 to 24 reef building species","","Constructor guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","Present","Actual reservoir","48.4167","-101.8333","","-24.2931","-39.8905"
"1301","Pecos River Bridge, Texas","United States","","Cretaceous","Lower Cretaceous","upper Albian","113.00","100.50","late Aptian - middle Cenomanian","3","Outcropping reef","Biostrome","Less than 10 m thick","","","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Intraplatform basin","Above fair weather wave base","Rudists","Rudists","Rudists only (sometimes with microbial encrustations)","","20","80","0","no","no","Less than 6 reef building species","","Baffler guild","","Present","","","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","29.3556","-101.7069","","28.6532","-62.5084"
"420","Blalock Field, Texas","United States","","Permian","Lower Permian","Asselian","298.90","295.00","Gzhelian - Asselian","2","Seismic data available","Reef mound","10 to 100 m thick","","","","10 - 100 m","","","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Tubiphytes","Bryozoans","Bryozoans - Tubiphytes - phylloid algae - (microbes) - (encrusting forams)","Green algae","40","0","60","no","no","6 to 24 reef building species","","Constructor guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","Actual reservoir","31.9","-101.65","","-4.51192","-35.06"
"1199","Elk Point Basin IV, North Dakota","United States","","Devonian","Middle Devonian","Eifelian","393.30","387.70","late Pragian - Eifelian","1","Outcropping reef","Reef mound","Less than 10 m thick","","","","10 - 100 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","25 or more reef building species","","Constructor guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","Present","No or unknown reservoir potential","48.7833","-101.5833","","-25.9545","-39.504"
"2054","Vealmoor, Horseshoe Atoll, Texas","United States","","Carboniferous","Upper Carboniferous","Missourian-Virgillian","307.00","303.70","Bashkirian - Kasimovian","2","Seismic data available","Mud mound or bank","10 to 100 m thick","","","","More than 1000 m","","200","310","Tropical or unknown","Shelf or Platform margin","Unknown","","Algae","Algae","","Red algae","0","100","0","no","no","Less than 6 reef building species","","Baffler guild","","","","","More than 60% micrite","","","","Actual reservoir","32.5167","-101.5833","","-4.87531","-35.3359"
"1197","Elk Point Basin II, North Dakota","United States","","Devonian","Middle Devonian","Givetian","387.70","382.70","Givetian - early Famennian","2","Seismic data available","True reef","101-500 m thick","","","","More than 100 m","","60","1196","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","6 to 24 reef building species","","Constructor guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","Present","Actual reservoir","48.7833","-101.4","81116","-24.1865","-39.3938"
"417","Happy and Seberger, Rawlings County, Kansas","United States","","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","2","Seismic data available","Mud mound or bank","Less than 10 m thick","","","","10 - 100 m","","10","","Tropical or unknown","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Algae","Foraminifera","Algae - encrusting forams","Green algae","0","100","0","no","no","Less than 6 reef building species","","Baffler guild","","","","","More than 60% micrite","10-25% sparite","Medium production of reefal debris","Present","Actual reservoir","39.8167","-101.2333","","0.805846","-30.7383"
"2195","Swan River, Manitoba","Canada","Winnipegosis","Devonian","Middle Devonian","lower Givetian","387.70","382.70","Givetian - early Famennian","3","Outcropping reef","Reef mound","10 to 100 m thick","","","","More than 100 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Stromatoporoids","Corals","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","40","0","60","no","no","","","","","","Medium zonation","Medium zonation","30-60% micrite","","Medium production of reefal debris","Intense","Actual reservoir","52.1333","-101.1667","","-21.6347","-37.0316"
"4210","Reinecke field, west Texas","United States","Unknown","Carboniferous-Permian","Upper Carboniferous","Gzhelian","303.70","298.90","Bashkirian - Kasimovian","2","Seismic data available","","More than 500 m thick","","More than 1000 m wide","","More than 1000 m","","","","Tropical or unknown","","","","Bryozoans","Echinoderms","Algae - bryozoans - (crinoids) - (forams) - (sponges) - (vermetids)","","","","","","","Less than 6 reef building species","5","","","","","","More than 60% micrite","","","Intense","Actual reservoir","32.34","-101.15","","-4.90289","-34.8671"
"1166","Fluvanna, Texas","United States","","Cretaceous","Lower Cretaceous","Albian","113.00","100.50","late Aptian - middle Cenomanian","2","Outcropping reef","Biostrome","10 to 100 m thick","","","","More than 1000 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Epeiric sea","Above fair weather wave base","Rudists","Corals","Rudists - corals - algae/microbes - (brachiopods)","","30","70","0","no","yes","Less than 6 reef building species","3","Baffler guild","Present","","Medium zonation","Low zonation","Less than 30% micrite","10-25% sparite","High production of reefal debris","","Potential reservoir","32.9592","-101.1461","74733","32.02","-60.9192"
"3063","La Popa","Mexico","","Cretaceous","Upper Cretaceous","Maastrichtian","72.10","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","True reef","Less than 10 m thick","5","","","Less than 20 m","10","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Rudists","Corals","Rudists - corals - algae/microbes - (brachiopods)","","40","60","0","no","no","","","Constructor guild","Present","Present","Pronounced zonation","Medium zonation","30-60% micrite","","","","No or unknown reservoir potential","26.1667","-101.05","","32.7323","-80.8413"
"311","Martha van Eman, Texas","United States","","Permian","Lower Permian","Asselian","298.90","295.00","Gzhelian - Asselian","2","Seismic data available","Reef mound","10 to 100 m thick","","","","10 - 100 m","","","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Algae","Tubiphytes","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","Green algae","0","30","70","no","no","6 to 24 reef building species","","Binder guild","","","","","30-60% micrite","More than 25% sparite","Medium production of reefal debris","","Actual reservoir","34","-101","","-3.08327","-33.4235"
"2055","Kelly Snyder, Horshoe Atoll, Texas","United States","Cisco","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","2","Seismic data available","Reef mound","10 to 100 m thick","50","","","More than 1000 m","","200","310","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Algae","Bryozoans","Algae - bryozoans - (crinoids) - (forams) - (sponges) - (vermetids)","Green algae","0","100","0","no","no","6 to 24 reef building species","","Baffler guild","","","Medium zonation","Low zonation","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","Actual reservoir","32.75","-100.95","","-5.00761","-34.7669"
"3992","Loma de San Jua, Michoacan","Mexico","","Cretaceous","Lower Cretaceous","lower Aptian","125.00","120.00","late Valanginian - early Aptian","3","Outcropping reef","True reef","Less than 10 m thick","9","","","","","","","Tropical or unknown","","Unknown","Above fair weather wave base","Corals","Corals","Corals only","","0","100","0","no","no","6 to 24 reef building species","14","Constructor guild","Present","Present","Medium zonation","Low zonation","","","","","No or unknown reservoir potential","18.5167","-100.9333","89846","17.7363","-57.4355"
"2194","Mafeking, Manitoba","Canada","Winnipegosis","Devonian","Middle Devonian","lower Givetian","387.70","382.70","Givetian - early Famennian","3","Outcropping reef","Reef mound","10 to 100 m thick","50","","","More than 100 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Stromatoporoids","Corals","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","40","0","60","no","no","","","","","","Medium zonation","Medium zonation","30-60% micrite","","Medium production of reefal debris","Intense","Potential reservoir","52.75","-100.9167","","-21.2354","-36.5009"
"2489","Huetamo, Michoacan","Mexico","","Cretaceous","Lower Cretaceous","lower Aptian","125.00","120.00","late Valanginian - early Aptian","3","Outcropping reef","Biostrome","10 to 100 m thick","","","","","","10","","Tropical or unknown","Intrashelf/ Intraplatform","Unknown","Above fair weather wave base","Rudists","Corals","Rudists - corals - algae/microbes - (brachiopods)","","30","70","0","no","no","6 to 24 reef building species","14","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","18.6","-100.85","64204","17.801","-57.3359"
"1195","Snake Creek Field, Kansas","United States","","Carboniferous","Upper Carboniferous","Virgilian","303.70","298.90","Bashkirian - Kasimovian","2","Seismic data available","Mud mound or bank","10 to 100 m thick","","","","More than 100 m","","20","","Tropical or unknown","Intrashelf/ Intraplatform","Open-marine shelf","Above fair weather wave base","Algae","Microbes","Algae - microbes - (encrusting forams) - (rare songes)","Green algae","0","100","0","no","no","Less than 6 reef building species","","Baffler guild","","","Medium zonation","Medium zonation","More than 60% micrite","10-25% sparite","Medium production of reefal debris","","Actual reservoir","37.0833","-100.8333","","-1.11189","-31.8513"
"2056","Salt Creek, Horshoe Atoll, Texas","United States","","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","3","Seismic data available","Mud mound or bank","10 to 100 m thick","","","","More than 1000 m","","200","310","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","","Algae","Algae","","Green algae","0","100","0","no","no","Less than 6 reef building species","","Baffler guild","","","","","","","","","Actual reservoir","33.2667","-100.8333","","-4.6506","-34.3794"
"3993","Chumbitaro, Guerrero","Mexico","Mal Paso","Cretaceous","Middle Cretaceous","Albian/Cenomanian","113.00","93.90","late Aptian - middle Cenomanian","2","Outcropping reef","True reef","10 to 100 m thick","19","10 - 100 m wide","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Corals","Rudists","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","20","70","10","no","no","6 to 24 reef building species","16","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","18.4833","-100.7","89857","17.4386","-66.1481"
"337","Nena Lucia - Jameson, Nolan County, Texas","United States","Strawn","Carboniferous","Upper Carboniferous","Desmoinesian","315.20","307.00","Bashkirian - Kasimovian","2","Seismic data available","Mud mound or bank","101-500 m thick","","","","More than 1000 m","","18","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Algae","Foraminifera","Phylloid and other platy algae - cements - (microbes)","Green algae","10","90","0","no","no","Less than 6 reef building species","","Binder guild","","Present","Low zonation","Low zonation","Less than 30% micrite","More than 25% sparite","Medium production of reefal debris","","Actual reservoir","32.1167","-100.5667","","-7.13999","-36.5558"
"3312","Rincón de Los Galemes, Bustamente, Nuevo Leon","Mexico","Cupido","Cretaceous","Lower Cretaceous","upper Hauterivian?","132.90","129.40","late Valanginian - early Aptian","2","Outcropping reef","Mud mound or bank","10 to 100 m thick","12","Less than 10 m wide","","10 - 100 m","","","","Tropical or unknown","Ramp or Slope","Deeper slope or outer ramp","Below fair weather wave base","Siliceous sponges","Microbes","Siliceous sponges - microbes - (Tubiphytes)","","","","","no","no","6 to 24 reef building species","","Microbial precipitation","Intensive","Present","Low zonation","Low zonation","More than 60% micrite","10-25% sparite","Low production of reefal debris","","No or unknown reservoir potential","26.5167","-100.55","","24.1734","-53.9924"
"3313","Northern Bustamante Canyon, Nuevo Leon","Mexico","Cupido","Cretaceous","Lower Cretaceous","Barremian","129.40","125.00","late Valanginian - early Aptian","2","Outcropping reef","Mud mound or bank","10 to 100 m thick","20","Less than 10 m wide","","10 - 100 m","","","","Tropical or unknown","Ramp or Slope","Deeper slope or outer ramp","Below fair weather wave base","Microbes","Siliceous sponges","Siliceous sponges - calcisponges - microbes - (algae)","","","","","no","no","6 to 24 reef building species","","Binder guild","Present","Present","","","More than 60% micrite","10-25% sparite","Low production of reefal debris","","No or unknown reservoir potential","26.5333","-100.5333","","24.8894","-54.0743"
"3314","Bustamante Canyon, Nuevo Leon","Mexico","Cupido","Cretaceous","Lower Cretaceous","Barremian","129.40","125.00","late Valanginian - early Aptian","2","Outcropping reef","Mud mound or bank","10 to 100 m thick","20","Less than 10 m wide","","10 - 100 m","","","","Tropical or unknown","Ramp or Slope","Deeper slope or outer ramp","Below fair weather wave base","Siliceous sponges","Calcisponges","Microbes - siliceous sponges - (bryozoans) - corals","","5","60","35","no","no","6 to 24 reef building species","","Binder guild","Present","Present","","","More than 60% micrite","10-25% sparite","Low production of reefal debris","","No or unknown reservoir potential","26.5333","-100.5333","0","24.8894","-54.0743"
"3315","Northern Bustamante Canyon, Nuevo Leon","Mexico","Cupido","Cretaceous","Lower Cretaceous","Barremian","129.40","125.00","late Valanginian - early Aptian","2","Outcropping reef","Mud mound or bank","10 to 100 m thick","90","10 - 100 m wide","","10 - 100 m","400","","","Tropical or unknown","Ramp or Slope","Deeper slope or outer ramp","Below fair weather wave base","Calcisponges","Microbes","Coralline sponges (chaetetids) - microbes - corals","","0","100","0","no","no","6 to 24 reef building species","","Binder guild","Present","Present","","","More than 60% micrite","10-25% sparite","Low production of reefal debris","","No or unknown reservoir potential","26.5333","-100.5333","0","24.8894","-54.0743"
"3263","Moose Lake Settlement, Manitoba","Canada","Cedar Lake Dolomite","Silurian","Llandovery","Telychian","438.50","433.40","Rhuddanian-Telychian","2","Outcropping reef","Biostrome","","","","","","","","3258","Tropical or unknown","Intrashelf/ Intraplatform","Unknown","","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","","Present","Potential reservoir","53.7","-100.3","26722","-7.29641","-52.6474"
"3258","Fort Island, Cedar Lake, Manitoba","Canada","Cedar Lake Dolomite","Silurian","Llandovery","Telychian","438.50","433.40","Rhuddanian-Telychian","2","Outcropping reef","True reef","Less than 10 m thick","","Less than 10 m wide","","","","","","Tropical or unknown","Intrashelf/ Intraplatform","Unknown","","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","","Present","Potential reservoir","53.3","-100.2667","26747","-7.58988","-52.9223"
"117","Ellef Ringnes Island","Canada","Christopher","Cretaceous","Lower Cretaceous","Albian","113.00","100.50","late Aptian - middle Cenomanian","2","Outcropping reef","Reef mound","Less than 10 m thick","6","","","Less than 20 m","15","","","Cold - water","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Serpulids, worms, vermetids","Non-rudist bivalves","Serpulids - bivalves - (microbes)","","95","5","0","no","no","Less than 6 reef building species","","Microbial precipitation","","Present","","","30-60% micrite","More than 25% sparite","Low production of reefal debris","","No or unknown reservoir potential","78.1667","-100.2167","","71.2321","-16.5183"
"382","Higgins Ranch Field, Texas","United States","","Carboniferous","Upper Carboniferous","Missourian","307.00","303.70","Bashkirian - Kasimovian","2","Seismic data available","Mud mound or bank","Less than 10 m thick","","","","Less than 20 m","","1","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Corals","Corals only","","100","0","0","no","no","6 to 24 reef building species","","Constructor guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","Actual reservoir","31.5","-100.1667","","-6.40748","-34.975"
"606","Nuevo Leon,","Mexico","","Jurassic","Upper Jurassic","Kimmeridgian","157.30","152.10","late Bathonian - early Tithonian","2","Outcropping reef","True reef","Less than 10 m thick","","","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Corals","Corals","","","0","100","0","no","no","","","","","","","","","","","","No or unknown reservoir potential","24.3333","-100","","19.0391","-49.8578"
"1521","Smith Bay, Prince of Wales Isl.","Canada","Drake Bay","Devonian","Lower Devonian","Lochkovian","419.20","410.80","middle Pridolian - middle Pragian","2","Outcropping reef","True reef","Less than 10 m thick","10","","","Less than 20 m","5","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Stromatoporoids","Corals","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","40","0","60","no","no","","","","","","","","","","","","No or unknown reservoir potential","73.3333","-100","26423","-3.29798","-29.7573"
"2606","San Luis Potosi","Mexico","","Cretaceous","Upper Cretaceous","Turonian-Coniacian","93.90","86.30","late Cenomanian - early Campanian","2","Outcropping reef","","","","","","","","100","","Tropical or unknown","","Unknown","","Corals","Rudists","Rudists - corals - algae/microbes - (brachiopods)","","20","80","0","no","no","","","","","","","","","","","","No or unknown reservoir potential","22","-100","","23.7238","-70.6657"
"3060","Guerrero","Mexico","","Cretaceous","Upper Cretaceous","Coniacian","89.80","86.30","late Cenomanian - early Campanian","2","Outcropping reef","Reef mound","Less than 10 m thick","","Less than 10 m wide","","10 - 100 m","","100","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Rudists","Rudists","Rudists only (sometimes with microbial encrustations)","","70","30","0","no","no","","","Constructor guild","","","","","","","","","No or unknown reservoir potential","17","-100","","19.6135","-72.4833"
"1302","Leakey, Real County, Texas","United States","","Cretaceous","Lower Cretaceous","upper Albian","113.00","100.50","late Aptian - middle Cenomanian","3","Outcropping reef","Reef mound","Less than 10 m thick","3","","","Less than 20 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Intraplatform basin","Above fair weather wave base","Rudists","Rudists","Rudists only (sometimes with microbial encrustations)","","40","60","0","no","no","Less than 6 reef building species","","Baffler guild","","","","","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","","Potential reservoir","29.7458","-99.8153","","28.6241","-60.5818"
"2196","Winnipegosis, Manitoba","Canada","Winnipegosis","Devonian","Middle Devonian","lower Givetian","387.70","382.70","Givetian - early Famennian","3","Outcropping reef","Reef mound","10 to 100 m thick","","","","More than 100 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Stromatoporoids","Corals","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","40","0","60","no","no","6 to 24 reef building species","9","Constructor guild","","","Medium zonation","Medium zonation","30-60% micrite","","Medium production of reefal debris","Intense","No or unknown reservoir potential","51.5667","-99.8","3635","-22.5939","-36.6677"
"2289","Quanah, Texas","United States","Chappel","Carboniferous","Lower Carboniferous","Osagean","350.00","342.00","late Famennian - early Visean","2","Seismic data available","Mud mound or bank","101-500 m thick","","","","More than 1000 m","","","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Echinoderms","Bryozoans","Bryozoans - crinoids - sponge spicules - (brachiopods) - (microbes) - (Tubiphytes)","","30","0","70","no","no","6 to 24 reef building species","","Microbial precipitation","","","Medium zonation","Low zonation","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","Present","Actual reservoir","34.3","-99.75","","-13.2911","-44.1825"
"2609","Guerrero","Mexico","","Cretaceous","Upper Cretaceous","Turonian","93.90","89.80","late Cenomanian - early Campanian","2","Outcropping reef","Biostrome","Less than 10 m thick","","","","","","100","","Tropical or unknown","","Unknown","","Rudists","Corals","Rudists - corals - algae/microbes - (brachiopods)","","30","70","0","no","no","","","","","","","","","","","","No or unknown reservoir potential","18.25","-99.75","","19.4688","-70.8308"
"1933","Logan Co., North Dakota","United States","Fox Hills","Cretaceous","Upper Cretaceous","Maastrichtian","72.10","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","Biostrome","Less than 10 m thick","","","","","","80","","Cold - water","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Non-rudist bivalves","Non-rudist bivalves","Non-rudist bivalves only","","100","0","0","no","no","Less than 6 reef building species","3","Constructor guild","Present","Present","","","Less than 30% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","46.2833","-99.6667","","51.8839","-72.24"
"3327","Aroyo de la Atarjea, San Luis Potosi","Mexico","Cardenas","Cretaceous","Upper Cretaceous","Middle-Upper Maastrichtian","72.10","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","True reef","Less than 10 m thick","8","Less than 10 m wide","","Less than 20 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Corals","Rudists","Rudists - corals - algae/microbes - (brachiopods)","","20","80","0","no","no","6 to 24 reef building species","6","Baffler guild","Present","Present","Medium zonation","Low zonation","30-60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","22.0167","-99.6333","38869","28.4003","-80.4254"
"3328","Aroyo de la Atarjea, San Luis Potosi","Mexico","Cardenas","Cretaceous","Upper Cretaceous","middle Maastrichtian","72.10","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","True reef","Less than 10 m thick","8","Less than 10 m wide","","Less than 20 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Rudists","Corals","Rudists - corals - algae/microbes - (brachiopods)","","45","55","0","no","no","6 to 24 reef building species","15","Baffler guild","Present","Present","Medium zonation","Low zonation","30-60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","22.0167","-99.6333","38870","28.4003","-80.4254"
"1589","Conley Field, Texas","United States","","Carboniferous","Lower Carboniferous","Meramecian","345.00","336.00","middle Visean - Serpukhovian","2","Seismic data available","Biostrome","10 to 100 m thick","","","","More than 1000 m","","2","","Tropical or unknown","Intrashelf/ Intraplatform","Intraplatform basin","Above fair weather wave base","Echinoderms","Bryozoans","Bryozoans - crinoids - sponge spicules - (brachiopods) - (microbes) - (Tubiphytes)","","40","0","60","no","no","Less than 6 reef building species","","Baffler guild","","","","","More than 60% micrite","10-25% sparite","High production of reefal debris","","Actual reservoir","34.2167","-99.6167","","-13.549","-44.3253"
"2647","Jalpan, Querétaro","Mexico","El Abra","Cretaceous","Lower Cretaceous","upper Albian","113.00","100.50","late Aptian - middle Cenomanian","3","Outcropping reef","Reef mound","","","","","","","","","Tropical or unknown","","Unknown","","Rudists","Corals","Rudists - corals - algae/microbes - (brachiopods)","","30","70","0","no","no","6 to 24 reef building species","","Baffler guild","","","","","","","","","No or unknown reservoir potential","21.1667","-99.4333","","20.2109","-62.4664"
"3639","Big Cedar Creek, Mason, Texas","United States","Marble Falls","Carboniferous","Upper Carboniferous","Atokan","315.20","310.00","Bashkirian - Kasimovian","2","Outcropping reef","Reef mound","Less than 10 m thick","4","Less than 10 m wide","5","Less than 20 m","6","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Stromatoporoids","Corals","Coralline sponges (chaetetids) - microbes - corals","","20","80","0","no","no","Less than 6 reef building species","3","Constructor guild","","","","","30-60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","30.6833","-99.4333","76209","-9.26545","-37.1332"
"1224","Kincaid, Texas","United States","Glen Rose","Cretaceous","Lower Cretaceous","Albian","113.00","100.50","late Aptian - middle Cenomanian","2","Seismic data available","Reef mound","10 to 100 m thick","50","","","More than 1000 m","","150","1299","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Above fair weather wave base","Corals","Stromatoporoids","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","20","70","10","no","no","6 to 24 reef building species","","Constructor guild","Present","Present","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","Actual reservoir","28.8333","-99.3333","0","27.6362","-60.3744"
